13573	62
13580	58
13587	27
13594	64
13601	51
13608	23
13615	37
13629	35
13636	52
13643	57
13650	64
13657	57
13664	20
13671	80
13678	19
13685	67
13692	50
13699	43
13706	44
13713	69
13720	52
13727	69
13734	66
13741	61
13748	28
13755	63
13762	25
13769	76
13776	80
13790	27
13797	26
13804	28
13811	77
13818	46
13825	49
13832	38
13839	69
13846	21
13853	57
13860	54
13867	47
13874	59
13881	76
13888	29
13895	80
13902	30
13909	32
13916	67
13923	62
13930	77
13937	37
13944	34
13951	37
13958	69
13965	74
13972	41
13979	44
13986	32
14000	43
14007	62
14014	75
14021	61
14028	76
14035	42
14042	66
14049	66
14056	75
14063	53
14070	37
14077	73
14084	32
14091	45
14098	44
14105	59
14112	64
14119	26
14126	74
14133	80
14140	67
14147	63
14154	66
14161	80
14168	75
14175	60
14182	46
14189	34
14196	49
14203	54
14217	36
14224	32
14231	72
14238	49
14245	75
14252	43
14259	36
14266	76
14273	46
14280	47
14287	35
14294	46
14301	72
14308	28
14322	65
14329	67
14336	59
14343	79
14350	44
14357	37
14364	40
14371	79
14378	61
14385	28
14392	61
14399	65
14406	51
14413	60
14420	65
14427	63
14434	75
14441	77
14448	63
14455	68
14462	54
14469	62
14476	52
14483	46
14497	79
14504	23
14511	56
14518	31
14525	62
14532	64
14539	46
14546	64
14553	39
14560	80
14567	56
14574	36
14581	61
14588	36
14595	37
14602	70
14609	22
14616	19
14623	37
14630	44
14637	26
14644	26
14651	63
14658	55
14665	73
14672	41
14679	29
14686	76
14693	73
14700	63
14707	48
14714	48
14721	68
14728	65
14735	74
14742	38
14749	62
14756	24
14763	55
14770	26
14784	20
14791	69
14798	51
14805	22
14812	62
14819	65
14826	75
14833	73
14840	23
14847	63
14854	37
14861	51
14868	18
14875	36
14882	29
14889	21
14896	19
14903	59
14910	25
14917	54
14924	68
14931	29
14938	31
14945	57
14952	43
14959	43
14966	18
14973	36
14980	60
14987	76
15001	57
15008	61
15015	51
15022	79
15029	76
15036	51
15050	35
15057	36
15064	65
15071	54
15078	49
15085	72
15092	42
15099	78
15106	59
15113	53
15120	62
15127	71
15134	72
15141	46
15148	29
15155	35
15162	62
15169	20
15176	34
15183	64
15190	42
15197	38
15204	18
15211	32
15218	76
15225	27
15232	36
15239	71
15246	26
15253	54
15260	22
15267	75
15274	57
15281	19
15288	42
15295	21
15302	69
15309	74
15316	49
15323	47
15330	26
15337	51
15344	61
15351	60
15358	41
15365	74
15372	55
15379	61
15386	53
15393	32
15400	77
15407	67
15414	68
15421	43
15428	19
15435	60
15442	53
15449	61
15456	39
15463	48
15477	29
15484	39
15491	74
15498	33
15505	47
15512	54
15519	58
15526	31
15533	66
15540	40
15547	34
15554	48
15561	20
15568	66
15575	48
15582	51
15589	43
15596	62
15603	29
15610	79
15617	31
15624	78
15631	27
15638	62
15645	56
15652	30
15659	75
15666	25
15673	46
15680	55
15687	71
15694	51
15701	80
15708	47
15715	50
15722	26
15729	41
15736	52
15743	29
15750	64
15757	25
15764	75
15771	37
15778	77
15785	37
15792	59
15799	50
15806	76
15813	59
15820	21
15827	49
15834	70
15841	64
15848	23
15855	54
15862	26
15869	80
15876	21
15883	43
15890	51
15897	78
15904	77
15911	64
15918	50
15925	47
15932	20
15939	77
15946	73
15953	40
15960	79
15967	22
15974	72
15981	45
15988	65
15995	76
16002	23
16009	44
16016	40
16023	73
16030	33
16037	22
16044	27
16051	53
16058	20
16065	26
16072	25
16079	68
16086	29
16093	43
16100	49
16107	63
16114	33
16121	57
16128	28
16135	61
16142	53
16149	47
16156	80
16163	40
16170	74
16177	38
16184	42
16191	26
16198	19
16205	67
16212	71
16219	60
16226	63
16233	56
16240	19
16247	42
16254	25
16261	60
16268	32
16275	47
16282	21
16289	75
16296	66
16303	74
16310	45
16317	62
16324	38
16331	71
16338	24
16345	21
16352	78
16359	46
16366	24
16373	41
16380	48
16387	79
16394	18
16401	53
16408	52
16415	57
16422	75
16429	41
16436	66
16443	25
16450	76
16457	19
16464	77
16471	35
16478	43
16485	19
16492	35
16499	59
16506	63
16513	52
16520	21
16527	28
16534	51
16541	29
16548	70
16555	78
16562	55
16569	62
