@relation merged_customer_data

@attribute CustomerID numeric
@attribute Date date "dd/MM/yy"
@attribute Product {'τροπικά φρούτα','προϊόν αρτοποιίας μακράς διαρκείας',κρέας,ζάχαρη,ρολά/ψωμάκια,'ημιψημένο ψωμί','γάλα μη αποβουτυρωμένο',εσπεριδοειδή,καραμέλα,χαρτοπετσέτες,βούτυρο,'γυναικεία είδη υγιεινής',γλάστρες,'άλλα λαχανικά','ριζώδη λαχανικά','τσάντες αγορών',σοκολάτα,καφές,'προιόντα υγιεινής','φρούτα με κουκούτσι',λουκάνικο,'λουκάνικο φρανκφούρτης',χοιρινό,'λευκό κρασί','χυμός φρούτων/λαχανικών',αλεύρι,σόδα,κρεμμύδια,'ντόπια αυγά','μεμβράνη/σακούλες φαγητού',ζαμπόν,'άσπρο ψωμί','κονσερβοποιημένη μπύρα','εμφιαλωμένη μπύρα',υγρό,γιαούρτι,'κρέας για μπέργκερ','λαχανικά τουρσί','αλμυρό σνακ',εφημερίδες,ζυμαρικά,ξινόγαλο,'σοκολάτα υγείας','μαύρο ψωμί',κοτόπουλο,'εμφιαλωμένο νερό',μούρα,'μεταποιημένο τυρί',επιδόρπιο,ξύδι,'φροντίδα δέρματος',τσίχλα,σαντιγί,αφαλατωτής,ζύμη,'ποτά ντελικατέσεν','βοδινό κρέας','κόκκινο/ροζέ κρασί','τυρί κρέμα','κατεψυγμένα λαχανικά',μουστάρδα,'σοκολάτα ντελικατέσεν','λικέρ (ορεκτικό)',βάφλες,'φέτες τυριού',καθαριστικό,ποτά,λάδι,μαργαρίνη,'εποχιακά προϊόντα',τυρόγαλο,'γάλα μακράς διάρκειας','μαλακό τυρί',μαλακτικό,'συσκευασμένα φρούτα/λαχανικά',ψάρι,'κατεψυγμένα γεύματα',διαβρωτικό/καθαριστικό,'κονσερβοποιημένα λαχανικά','αφρώδες κρασί',φωτογραφία/ταινία,γατοτροφή,σούπες,γαλοπούλα,σάλτσες,'σκληρό τυρί','μπέικιν πάουντερ','διάφορα ποτά',βότανα,'μπάρα δημητριακών',σιρόπι,'τυρί για άλειμμα',μπαχαρικά,'κονσερβοποιημένο ψάρι',ρύζι,'λίπος ντελικατέσεν','πετσέτες κουζίνας','τυρί ντελικατέσεν',πιάτα,'καθαριστικό πιάτων',παγωτό,'συμπυκνωμένο γάλα',σταφύλια,'κρέας για άλειμμα',συκώτι,'κατεψυγμένα ψάρια','παγωμένο επιδόρπιο','έτοιμα προϊόντα διατροφής','προϊόντα σνακ',δημητριακά,'οδοντιατρική φροντίδα',μαγιονέζα,τσάι,παξιμάδι,'κατεψυγμένα προϊόντα πατάτας','προϊόντα σε ρολό',απορρυπαντικό,αλάτι,'ποπ κορν',ρούχα,'λαχανικά ντελικατέσεν','λουλούδια (σπόροι)','ποτά κακάου','γλυκά για άλειμμα','ξηροί καρποί',μεζέδες,'κατεψυγμένα φρούτα','φρούτα σε κονσέρβα','καθαριστικό μπάνιου','προϊόντα οικιακής χρήσης','πουτίγκα σε σκόνη',κεριά,'σάλτσα σαλάτας','ανδρικά καλλυντικά',σνακ,μέλι,κέτσαπ,'έτοιμες σούπες',κονιάκ,'στιγμιαίος καφές','βιολογικό λουκάνικο',σκυλοτροφή,'μαγειρικά σκεύη',σαπούνι,ρούμι,'λίπασμα για λουλούδια','φροντίδα κατοικίδιου','σπρέι μαλλιών',μαρμελάδα,'τεχνητή γλυκαντική ουσία',λικέρ,ουίσκι,λάμπες,κρέμα,'κρασί prosecco','κατεψυγμένο κοτόπουλο',οινόπνευμα,'σοκολάτα κουβερτούρα','προϊόντα πατάτας',τσάντες,'βιολογικά προϊόντα','αφαίρεση μακιγιάζ','καλλυντικά για μωρά','καθαριστικό τουαλέτας',κουζινικά,'προϊόντα συντήρησης'}
@attribute Age numeric

@data
19229,21/07/23,'τροπικά φρούτα',40
19229,04/02/23,'προϊόν αρτοποιίας μακράς διαρκείας',40
19229,29/11/22,κρέας,40
19229,15/12/22,ζάχαρη,40
19229,21/07/23,ρολά/ψωμάκια,40
19229,04/02/23,'ημιψημένο ψωμί',40
19229,29/11/22,'γάλα μη αποβουτυρωμένο',40
19229,15/12/22,εσπεριδοειδή,40
19229,21/07/23,καραμέλα,40
19229,15/12/22,χαρτοπετσέτες,40
24437,05/01/23,'γάλα μη αποβουτυρωμένο',33
24437,08/10/22,βούτυρο,33
24437,20/06/22,'γυναικεία είδη υγιεινής',33
24437,11/07/22,γλάστρες,33
24437,19/02/22,'άλλα λαχανικά',33
24437,05/01/23,'τροπικά φρούτα',33
24437,08/10/22,'ριζώδη λαχανικά',33
24437,20/06/22,'γάλα μη αποβουτυρωμένο',33
24437,11/07/22,'τσάντες αγορών',33
24437,19/02/22,σοκολάτα,33
24437,05/01/23,σοκολάτα,33
24437,11/07/22,καφές,33
24437,20/06/22,'προιόντα υγιεινής',33
22673,19/09/23,'φρούτα με κουκούτσι',35
22673,28/04/23,λουκάνικο,35
22673,05/08/23,'λουκάνικο φρανκφούρτης',35
22673,16/03/22,χοιρινό,35
22673,19/09/23,'άλλα λαχανικά',35
22673,28/04/23,'λευκό κρασί',35
22673,05/08/23,'προϊόν αρτοποιίας μακράς διαρκείας',35
22673,16/03/22,'χυμός φρούτων/λαχανικών',35
22673,19/09/23,αλεύρι,35
22673,28/04/23,'προιόντα υγιεινής',35
14882,12/12/23,'άλλα λαχανικά',29
14882,08/06/22,σόδα,29
14882,09/11/22,εσπεριδοειδή,29
14882,12/12/23,κρεμμύδια,29
14882,08/06/22,σόδα,29
14882,09/11/22,'ντόπια αυγά',29
14882,12/12/23,'τσάντες αγορών',29
27832,01/02/23,'γάλα μη αποβουτυρωμένο',53
27832,23/02/23,'μεμβράνη/σακούλες φαγητού',53
27832,01/02/23,'άλλα λαχανικά',53
27832,23/02/23,ζαμπόν,53
27832,01/02/23,'άσπρο ψωμί',53
41160,14/02/23,ρολά/ψωμάκια,62
41160,15/01/23,ρολά/ψωμάκια,62
41160,15/01/23,'κονσερβοποιημένη μπύρα',62
41160,15/01/23,'εμφιαλωμένη μπύρα',62
41160,15/01/23,ζαμπόν,62
41160,09/09/22,καφές,62
41160,12/06/22,'γάλα μη αποβουτυρωμένο',62
41160,13/04/22,υγρό,62
41160,08/02/22,γιαούρτι,62
41160,24/02/22,'λευκό κρασί',62
41160,13/08/22,κρέας,62
41160,14/02/23,εσπεριδοειδή,62
41160,15/01/23,'κρέας για μπέργκερ',62
41160,15/01/23,'λαχανικά τουρσί',62
41160,15/01/23,'αλμυρό σνακ',62
41160,15/01/23,'ντόπια αυγά',62
41160,09/09/22,σόδα,62
41160,12/06/22,'κονσερβοποιημένη μπύρα',62
41160,13/04/22,εφημερίδες,62
41160,08/02/22,ζυμαρικά,62
41160,24/02/22,σόδα,62
41160,13/08/22,ξινόγαλο,62
41160,25/10/22,'άσπρο ψωμί',62
41160,15/01/23,σόδα,62
41160,14/02/23,'χυμός φρούτων/λαχανικών',62
41160,25/10/22,'σοκολάτα υγείας',62
38080,08/05/23,'άλλα λαχανικά',44
38080,15/06/23,'άλλα λαχανικά',44
38080,26/03/23,ξινόγαλο,44
38080,15/06/23,'τροπικά φρούτα',44
38080,01/10/22,'μαύρο ψωμί',44
38080,08/09/22,κοτόπουλο,44
38080,08/05/23,'εμφιαλωμένο νερό',44
38080,15/06/23,χοιρινό,44
38080,26/03/23,μούρα,44
38080,15/06/23,σόδα,44
38080,01/10/22,'μεταποιημένο τυρί',44
38080,08/09/22,επιδόρπιο,44
38080,08/05/23,'τσάντες αγορών',44
33194,23/12/23,γλάστρες,61
