,CustomerID,Date,Product,Age,GroupID
0,19229,21/07/23,Fruits,40,2986
1,19229,04/02/23,Pastries,40,2984
2,19229,29/11/22,Meat Products,40,2987
3,19229,15/12/22,Cooking Ingredients,40,2985
4,19229,21/07/23,Pastries,40,2986
5,19229,04/02/23,Pastries,40,2984
6,19229,29/11/22,Dairy Products,40,2987
7,19229,15/12/22,Fruits,40,2985
8,19229,21/07/23,Snacks/Sweets,40,2986
9,19229,15/12/22,Household and Cleaning Products,40,2985
10,24437,05/01/23,Dairy Products,33,5779
11,24437,08/10/22,Dairy Products,33,5780
12,24437,20/06/22,Personal Care Products,33,5783
13,24437,11/07/22,Household and Cleaning Products,33,5781
14,24437,19/02/22,Vegetables,33,5782
15,24437,05/01/23,Fruits,33,5779
16,24437,08/10/22,Vegetables,33,5780
17,24437,20/06/22,Dairy Products,33,5783
18,24437,11/07/22,Household and Cleaning Products,33,5781
19,24437,19/02/22,Snacks/Sweets,33,5782
20,24437,05/01/23,Snacks/Sweets,33,5779
21,24437,11/07/22,Non-Alcoholic Beverages,33,5781
22,24437,20/06/22,Household and Cleaning Products,33,5783
23,22673,19/09/23,Fruits,35,4850
24,22673,28/04/23,Meat Products,35,4851
25,22673,05/08/23,Meat Products,35,4848
26,22673,16/03/22,Meat Products,35,4849
27,22673,19/09/23,Vegetables,35,4850
28,22673,28/04/23,Alcoholic Beverages,35,4851
29,22673,05/08/23,Pastries,35,4848
30,22673,16/03/22,Non-Alcoholic Beverages,35,4849
31,22673,19/09/23,Pastries,35,4850
32,22673,28/04/23,Household and Cleaning Products,35,4851
33,14882,12/12/23,Vegetables,29,687
34,14882,08/06/22,Non-Alcoholic Beverages,29,685
35,14882,09/11/22,Fruits,29,686
36,14882,12/12/23,Vegetables,29,687
37,14882,08/06/22,Non-Alcoholic Beverages,29,685
38,14882,09/11/22,Foods,29,686
39,14882,12/12/23,Household and Cleaning Products,29,687
40,27832,01/02/23,Dairy Products,53,7584
41,27832,23/02/23,Household and Cleaning Products,53,7585
42,27832,01/02/23,Vegetables,53,7584
43,27832,23/02/23,Meat Products,53,7585
44,27832,01/02/23,Pastries,53,7584
45,41160,14/02/23,Pastries,62,14766
46,41160,15/01/23,Pastries,62,14767
47,41160,15/01/23,Alcoholic Beverages,62,14767
48,41160,15/01/23,Alcoholic Beverages,62,14767
49,41160,15/01/23,Meat Products,62,14767
50,41160,09/09/22,Non-Alcoholic Beverages,62,14762
51,41160,12/06/22,Dairy Products,62,14763
52,41160,13/04/22,Household and Cleaning Products,62,14764
53,41160,08/02/22,Dairy Products,62,14761
54,41160,24/02/22,Alcoholic Beverages,62,14768
55,41160,13/08/22,Meat Products,62,14765
56,41160,14/02/23,Fruits,62,14766
57,41160,15/01/23,Meat Products,62,14767
58,41160,15/01/23,Vegetables,62,14767
59,41160,15/01/23,Snacks/Sweets,62,14767
60,41160,15/01/23,Foods,62,14767
61,41160,09/09/22,Non-Alcoholic Beverages,62,14762
62,41160,12/06/22,Alcoholic Beverages,62,14763
63,41160,13/04/22,Miscellaneous,62,14764
64,41160,08/02/22,Pastries,62,14761
65,41160,24/02/22,Non-Alcoholic Beverages,62,14768
66,41160,13/08/22,Dairy Products,62,14765
67,41160,25/10/22,Pastries,62,14769
68,41160,15/01/23,Non-Alcoholic Beverages,62,14767
69,41160,14/02/23,Non-Alcoholic Beverages,62,14766
70,41160,25/10/22,Snacks/Sweets,62,14769
71,38080,08/05/23,Vegetables,44,13085
72,38080,15/06/23,Vegetables,44,13087
73,38080,26/03/23,Dairy Products,44,13088
74,38080,15/06/23,Fruits,44,13087
75,38080,01/10/22,Pastries,44,13084
76,38080,08/09/22,Meat Products,44,13086
77,38080,08/05/23,Non-Alcoholic Beverages,44,13085
78,38080,15/06/23,Meat Products,44,13087
79,38080,26/03/23,Fruits,44,13088
80,38080,15/06/23,Non-Alcoholic Beverages,44,13087
81,38080,01/10/22,Dairy Products,44,13084
82,38080,08/09/22,Snacks/Sweets,44,13086
83,38080,08/05/23,Household and Cleaning Products,44,13085
84,33194,23/12/23,Household and Cleaning Products,61,10455
85,33194,27/01/23,Snacks/Sweets,61,10456
86,33194,06/10/23,Vegetables,61,10451
87,33194,20/10/23,Meat Products,61,10454
88,33194,14/12/23,Meat Products,61,10452
89,33194,06/10/23,Non-Alcoholic Beverages,61,10451
90,33194,20/10/23,Meat Products,61,10454
91,33194,17/06/22,Dairy Products,61,10453
92,33194,23/12/23,Fruits,61,10455
93,33194,27/01/23,Fruits,61,10456
94,33194,06/10/23,Fruits,61,10451
95,33194,20/10/23,Fruits,61,10454
96,33194,14/12/23,Cooking Ingredients,61,10452
97,33194,06/10/23,Miscellaneous,61,10451
98,33194,20/10/23,Vegetables,61,10454
99,33194,17/06/22,Personal Care Products,61,10453
100,33194,06/10/23,Snacks/Sweets,61,10451
101,33194,23/12/23,Snacks/Sweets,61,10455
102,33194,17/06/22,Pastries,61,10453
103,25907,20/03/23,Dairy Products,27,6579
104,25907,07/11/23,Household and Cleaning Products,27,6577
105,25907,18/12/23,Snacks/Sweets,27,6578
106,25907,27/10/22,Pastries,27,6580
107,25907,20/03/23,Alcoholic Beverages,27,6579
108,25907,07/11/23,Dairy Products,27,6577
109,25907,18/12/23,Meat Products,27,6578
110,25907,27/10/22,Alcoholic Beverages,27,6580
111,25907,20/03/23,Miscellaneous,27,6579
112,35406,12/02/23,Fruits,21,11595
113,35406,09/05/23,Dairy Products,21,11594
114,35406,15/04/23,Meat Products,21,11596
115,35406,24/10/22,Dairy Products,21,11597
116,35406,12/02/23,Fruits,21,11595
117,35406,09/05/23,Vegetables,21,11594
118,35406,15/04/23,Dairy Products,21,11596
119,35406,24/10/22,Vegetables,21,11597
120,35406,12/02/23,Non-Alcoholic Beverages,21,11595
121,15953,24/02/23,Fruits,40,1236
122,15953,23/01/23,Dairy Products,40,1235
123,15953,18/11/23,Snacks/Sweets,40,1234
124,15953,13/03/23,Vegetables,40,1233
125,15953,29/03/22,Dairy Products,40,1238
126,15953,28/12/22,Cooking Ingredients,40,1237
127,15953,24/02/23,Pastries,40,1236
128,15953,23/01/23,Dairy Products,40,1235
129,15953,18/11/23,Pastries,40,1234
130,15953,13/03/23,Dairy Products,40,1233
131,15953,29/03/22,Household and Cleaning Products,40,1238
132,15953,28/12/22,Pastries,40,1237
